Date,Open,High,Low,Close,Adj Close,Volume,bb_bbm,bb_bbh,bb_bbl,rsi
2022-01-03,177.8300018310547,182.8800048828125,177.7100067138672,182.00999450683594,179.48110961914062,104487900,,,,
2022-01-04,182.6300048828125,182.94000244140625,179.1199951171875,179.6999969482422,177.20321655273438,99310400,,,,
2022-01-05,179.61000061035156,180.1699981689453,174.63999938964844,174.9199981689453,172.48963928222656,94537600,,,,
2022-01-06,172.6999969482422,175.3000030517578,171.63999938964844,172.0,169.6101837158203,96904000,,,,
2022-01-07,172.88999938964844,174.13999938964844,171.02999877929688,172.1699981689453,169.77781677246094,86709100,,,,
2022-01-10,169.0800018310547,172.5,168.1699981689453,172.19000244140625,169.79754638671875,106765600,,,,
2022-01-11,172.32000732421875,175.17999267578125,170.82000732421875,175.0800018310547,172.64743041992188,76138300,,,,
2022-01-12,176.1199951171875,177.17999267578125,174.82000732421875,175.52999877929688,173.09115600585938,74805200,,,,
2022-01-13,175.77999877929688,176.6199951171875,171.7899932861328,172.19000244140625,169.79754638671875,84505800,,,,
2022-01-14,171.33999633789062,173.77999877929688,171.08999633789062,173.07000732421875,170.66534423828125,80440800,,,,
2022-01-18,171.50999450683594,172.5399932861328,169.41000366210938,169.8000030517578,167.4407958984375,90956700,,,,
2022-01-19,170.0,171.0800018310547,165.94000244140625,166.22999572753906,163.9203643798828,94815000,,,,
2022-01-20,166.97999572753906,169.67999267578125,164.17999267578125,164.50999450683594,162.2242431640625,91420500,,,,
2022-01-21,164.4199981689453,166.3300018310547,162.3000030517578,162.41000366210938,160.15347290039062,122848900,,,,14.597112654543139
2022-01-24,160.02000427246094,162.3000030517578,154.6999969482422,161.6199951171875,159.37442016601562,162294600,,,,13.968873183309356
2022-01-25,158.97999572753906,162.75999450683594,157.02000427246094,159.77999877929688,157.5599822998047,115798400,,,,12.607839752947015
2022-01-26,163.5,164.38999938964844,157.82000732421875,159.69000244140625,157.4712371826172,108275300,,,,12.543464715765253
2022-01-27,162.4499969482422,163.83999633789062,158.27999877929688,159.22000122070312,157.0077667236328,121954600,,,,12.193312131793277
2022-01-28,165.7100067138672,170.35000610351562,162.8000030517578,170.3300018310547,167.96340942382812,179935700,,,,48.66977761494472
2022-01-31,170.16000366210938,175.0,169.50999450683594,174.77999877929688,172.3515625,115541600,169.86149978637695,183.0402839757152,156.6827155970387,56.469956588635476
