Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,3.612916946411133,3.7144999504089355,3.602375030517578,3.7049169540405273,3.269157886505127,49940748
2020-01-03,3.6761670112609863,3.6895840167999268,3.6157920360565186,3.6474170684814453,3.2184207439422607,39751027
2020-01-06,3.612916946411133,3.6363959312438965,3.552541971206665,3.61722993850708,3.191784143447876,26771979
2020-01-07,3.638313055038452,3.650770902633667,3.584645986557007,3.599980115890503,3.176563024520874,30226212
2020-01-08,3.5764999389648438,3.6071670055389404,3.560209035873413,3.602375030517578,3.1786763668060303,31351924
2020-01-09,3.6320838928222656,3.6550838947296143,3.6052498817443848,3.6114799976348877,3.1867105960845947,85474432
2020-01-10,3.617708921432495,3.622499942779541,3.5626049041748047,3.5626049041748047,3.1435835361480713,28374199
2020-01-13,3.572666883468628,3.579854965209961,3.5055840015411377,3.5381669998168945,3.1220202445983887,32250430
2020-01-14,3.543437957763672,3.543437957763672,3.4567089080810547,3.4682090282440186,3.060290575027466,108755227
2020-01-15,3.465812921524048,3.4720420837402344,3.415980100631714,3.433229923248291,3.029425621032715,66151128
2020-01-16,3.4404170513153076,3.495042085647583,3.4073550701141357,3.482583999633789,3.072974681854248,94275853
2020-01-17,3.5180420875549316,3.5501461029052734,3.504625082015991,3.524271011352539,3.1097586154937744,70102934
2020-01-20,3.5098960399627686,3.515166997909546,3.4806671142578125,3.482583999633789,3.072974681854248,34145958
2020-01-21,3.4595839977264404,3.486417055130005,3.4351460933685303,3.467250108718872,3.0594446659088135,51843253
2020-01-22,3.4691669940948486,3.4849801063537598,3.413105010986328,3.4279589653015137,3.0247745513916016,32877695
2020-01-23,3.4514379501342773,3.4979169368743896,3.408792018890381,3.4231669902801514,3.0205461978912354,47109279
2020-01-24,3.4610209465026855,3.490730047225952,3.3862709999084473,3.3924999237060547,2.993486166000366,55008359
2020-01-27,3.3575210571289062,3.387708902359009,3.3215839862823486,3.331166982650757,2.9393668174743652,46656789
2020-01-28,3.349375009536743,3.413583993911743,3.29954195022583,3.4030420780181885,3.002788543701172,43785332
2020-01-29,3.532417058944702,3.5793750286102295,3.4883339405059814,3.55302095413208,3.135127067565918,84842100
2020-01-30,3.507499933242798,3.5506250858306885,3.484020948410034,3.513730049133301,3.1004574298858643,47996958
2020-01-31,3.5386459827423096,3.551584005355835,3.404958963394165,3.405916929244995,3.0053250789642334,67744084
2020-02-03,3.4279589653015137,3.4480841159820557,3.372375011444092,3.414062976837158,3.0125129222869873,39064261
2020-02-04,3.44712495803833,3.543916940689087,3.4361050128936768,3.5372090339660645,3.1211748123168945,53293510
2020-02-05,3.507499933242798,3.6359169483184814,3.507499933242798,3.6359169483184814,3.20827317237854,58155033
2020-02-06,3.6756880283355713,3.706355094909668,3.622020959854126,3.670417070388794,3.238715410232544,89130203
